rowNumber,timestamp,handle,productTitle,field,original,updated,reason,severity,phase
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Variant SKU,,BAS-PRD-3WNK,Generated per SOP,info,3d
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Condition,,new,Condition set to new,info,4
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Description,,,SEO desc length 116,warn,4
3,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Google Product Category,,,Missing google category,warn,4
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Variant SKU,,BAS-PRD-6L7Y,Generated per SOP,info,3d
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Condition,,new,Condition set to new,info,4
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Description,,,SEO desc length 116,warn,4
4,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Google Product Category,,,Missing google category,warn,4
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Variant SKU,,BAS-PRD-J7XE,Generated per SOP,info,3d
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Condition,,new,Condition set to new,info,4
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,SEO Description,,,SEO desc length 116,warn,4
5,26/09/2025,novooo-dreiflugelmappe-a4-pressspan-mit-gummizug,,Google Shopping / Google Product Category,,,Missing google category,warn,4
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,SEO Title,,Heftschoner PP A4 Fb. 12 | Bastelschachtel,SEO title standardized per SOP,info,3c
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,Google Shopping / Condition,,new,Condition set to new,info,4
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,SEO Description,,,SEO desc length 116,warn,4
6,26/09/2025,heftschoner-a4,Heftschoner PP A4 Fb. 12,Google Shopping / Google Product Category,,,Missing google category,warn,4
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,SEO Title,,Aufgabenheft 16Bl. A5 | Bastelschachtel,SEO title standardized per SOP,info,3c
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,Google Shopping / Condition,,new,Condition set to new,info,4
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,SEO Description,,,SEO desc length 116,warn,4
7,26/09/2025,aufgabenheft-16bl-a5,Aufgabenheft 16Bl. A5,Google Shopping / Google Product Category,,,Missing google category,warn,4
8,26/09/2025,notenheft-a4,Notenheft A4,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
8,26/09/2025,notenheft-a4,Notenheft A4,SEO Title,,Notenheft A4 | Bastelschachtel,SEO title standardized per SOP,info,3c
8,26/09/2025,notenheft-a4,Notenheft A4,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
8,26/09/2025,notenheft-a4,Notenheft A4,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
8,26/09/2025,notenheft-a4,Notenheft A4,Google Shopping / Condition,,new,Condition set to new,info,4
8,26/09/2025,notenheft-a4,Notenheft A4,SEO Description,,,SEO desc length 116,warn,4
8,26/09/2025,notenheft-a4,Notenheft A4,Google Shopping / Google Product Category,,,Missing google category,warn,4
9,26/09/2025,notenheft-a4,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
9,26/09/2025,notenheft-a4,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
9,26/09/2025,notenheft-a4,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
9,26/09/2025,notenheft-a4,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
9,26/09/2025,notenheft-a4,,Variant SKU,,BAS-PRD-CV59,Generated per SOP,info,3d
9,26/09/2025,notenheft-a4,,Variant Requires Shipping,,TRUE,Physical product default,info,3d
9,26/09/2025,notenheft-a4,,Variant Taxable,,TRUE,Taxable default,info,3d
9,26/09/2025,notenheft-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
9,26/09/2025,notenheft-a4,,Google Shopping / Condition,,new,Condition set to new,info,4
9,26/09/2025,notenheft-a4,,SEO Description,,,SEO desc length 116,warn,4
9,26/09/2025,notenheft-a4,,Google Shopping / Google Product Category,,,Missing google category,warn,4
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,SEO Title,,Bleistift Linkshänder | Bastelschachtel,SEO title standardized per SOP,info,3c
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,Google Shopping / Condition,,new,Condition set to new,info,4
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,SEO Description,,,SEO desc length 116,warn,4
10,26/09/2025,bleistift-linkshander,Bleistift Linkshänder,Google Shopping / Google Product Category,,,Missing google category,warn,4
11,26/09/2025,faber-filzstifte-10-3,Faber Filzstifte 10+3,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
11,26/09/2025,faber-filzstifte-10-3,Faber Filzstifte 10+3,SEO Title,,Faber Filzstifte 10+3 | Bastelschachtel,SEO title standardized per SOP,info,3c
11,26/09/2025,faber-filzstifte-10-3,Faber Filzstifte 10+3,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
11,26/09/2025,faber-filzstifte-10-3,Faber Filzstifte 10+3,Google Shopping / Condition,,new,Condition set to new,info,4
11,26/09/2025,faber-filzstifte-10-3,Faber Filzstifte 10+3,SEO Description,,,SEO desc length 116,warn,4
12,26/09/2025,faber-filzstifte-10-3,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
12,26/09/2025,faber-filzstifte-10-3,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
12,26/09/2025,faber-filzstifte-10-3,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
12,26/09/2025,faber-filzstifte-10-3,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
12,26/09/2025,faber-filzstifte-10-3,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
12,26/09/2025,faber-filzstifte-10-3,,Google Shopping / Condition,,new,Condition set to new,info,4
12,26/09/2025,faber-filzstifte-10-3,,SEO Description,,,SEO desc length 116,warn,4
12,26/09/2025,faber-filzstifte-10-3,,Google Shopping / Google Product Category,,,Missing google category,warn,4
13,26/09/2025,faber-radierer,Faber Radierer,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
13,26/09/2025,faber-radierer,Faber Radierer,SEO Title,,Faber Radierer | Bastelschachtel,SEO title standardized per SOP,info,3c
13,26/09/2025,faber-radierer,Faber Radierer,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
13,26/09/2025,faber-radierer,Faber Radierer,Google Shopping / Condition,,new,Condition set to new,info,4
13,26/09/2025,faber-radierer,Faber Radierer,SEO Description,,,SEO desc length 116,warn,4
14,26/09/2025,faber-radierer,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
14,26/09/2025,faber-radierer,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
14,26/09/2025,faber-radierer,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
14,26/09/2025,faber-radierer,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
14,26/09/2025,faber-radierer,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
14,26/09/2025,faber-radierer,,Google Shopping / Condition,,new,Condition set to new,info,4
14,26/09/2025,faber-radierer,,SEO Description,,,SEO desc length 116,warn,4
14,26/09/2025,faber-radierer,,Google Shopping / Google Product Category,,,Missing google category,warn,4
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,SEO Title,,Faber Bleistift HB/ 144 | Bastelschachtel,SEO title standardized per SOP,info,3c
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,Google Shopping / Condition,,new,Condition set to new,info,4
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,SEO Description,,,SEO desc length 116,warn,4
15,26/09/2025,faber-bleistift-hb-144,Faber Bleistift HB/ 144,Google Shopping / Google Product Category,,,Missing google category,warn,4
16,26/09/2025,faber-bleistift-hb-144,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
16,26/09/2025,faber-bleistift-hb-144,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
16,26/09/2025,faber-bleistift-hb-144,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
16,26/09/2025,faber-bleistift-hb-144,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
16,26/09/2025,faber-bleistift-hb-144,,Variant SKU,,BAS-PRD-S3VW,Generated per SOP,info,3d
16,26/09/2025,faber-bleistift-hb-144,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
16,26/09/2025,faber-bleistift-hb-144,,Google Shopping / Condition,,new,Condition set to new,info,4
16,26/09/2025,faber-bleistift-hb-144,,SEO Description,,,SEO desc length 116,warn,4
16,26/09/2025,faber-bleistift-hb-144,,Google Shopping / Google Product Category,,,Missing google category,warn,4
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",SEO Title,,"Spitzer & Radierer ""Monsti"" 3in1 | Bastelschachtel",SEO title standardized per SOP,info,3c
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",Google Shopping / Condition,,new,Condition set to new,info,4
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",SEO Description,,,SEO desc length 116,warn,4
17,26/09/2025,spitzer-radierer-monsti-3in1,"Spitzer & Radierer ""Monsti"" 3in1",Google Shopping / Google Product Category,,,Missing google category,warn,4
18,26/09/2025,spitzer-radierer-monsti-3in1,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
18,26/09/2025,spitzer-radierer-monsti-3in1,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
18,26/09/2025,spitzer-radierer-monsti-3in1,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
18,26/09/2025,spitzer-radierer-monsti-3in1,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
18,26/09/2025,spitzer-radierer-monsti-3in1,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
18,26/09/2025,spitzer-radierer-monsti-3in1,,Google Shopping / Condition,,new,Condition set to new,info,4
18,26/09/2025,spitzer-radierer-monsti-3in1,,SEO Description,,,SEO desc length 116,warn,4
18,26/09/2025,spitzer-radierer-monsti-3in1,,Google Shopping / Google Product Category,,,Missing google category,warn,4
19,26/09/2025,spitzer-radierer-monsti-3in1,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
19,26/09/2025,spitzer-radierer-monsti-3in1,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
19,26/09/2025,spitzer-radierer-monsti-3in1,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
19,26/09/2025,spitzer-radierer-monsti-3in1,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
19,26/09/2025,spitzer-radierer-monsti-3in1,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
19,26/09/2025,spitzer-radierer-monsti-3in1,,Google Shopping / Condition,,new,Condition set to new,info,4
19,26/09/2025,spitzer-radierer-monsti-3in1,,SEO Description,,,SEO desc length 116,warn,4
19,26/09/2025,spitzer-radierer-monsti-3in1,,Google Shopping / Google Product Category,,,Missing google category,warn,4
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",SEO Title,,"Radiergummi ""Wolke"" 5,8x3,9cm | Bastelschachtel",SEO title standardized per SOP,info,3c
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",Google Shopping / Condition,,new,Condition set to new,info,4
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",SEO Description,,,SEO desc length 116,warn,4
20,26/09/2025,radiergummi-wolke-5-8x3-9cm,"Radiergummi ""Wolke"" 5,8x3,9cm",Google Shopping / Google Product Category,,,Missing google category,warn,4
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",SEO Title,,"Kunststoff Radierer ""Monster"" | Bastelschachtel",SEO title standardized per SOP,info,3c
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",Google Shopping / Condition,,new,Condition set to new,info,4
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",SEO Description,,,SEO desc length 116,warn,4
21,26/09/2025,kunststoff-radierer-monster,"Kunststoff Radierer ""Monster""",Google Shopping / Google Product Category,,,Missing google category,warn,4
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,SEO Title,,Buntstift Stabilo TRIO dick/12 | Bastelschachtel,SEO title standardized per SOP,info,3c
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,Variant SKU,203/12-01,STA-BUNT-8SAS,Generated per SOP,info,3d
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,Google Shopping / Condition,,new,Condition set to new,info,4
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,SEO Description,,,SEO desc length 116,warn,4
22,26/09/2025,buntstift-stabilo-trio-dick-12,Buntstift Stabilo TRIO dick/12,Google Shopping / Google Product Category,,,Missing google category,warn,4
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
23,26/09/2025,buntstift-stabilo-trio-dick-12,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
23,26/09/2025,buntstift-stabilo-trio-dick-12,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Variant SKU,,BAS-PRD-RC42,Generated per SOP,info,3d
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Variant Requires Shipping,,TRUE,Physical product default,info,3d
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Variant Taxable,,TRUE,Taxable default,info,3d
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Google Shopping / Condition,,new,Condition set to new,info,4
23,26/09/2025,buntstift-stabilo-trio-dick-12,,SEO Description,,,SEO desc length 116,warn,4
23,26/09/2025,buntstift-stabilo-trio-dick-12,,Google Shopping / Google Product Category,,,Missing google category,warn,4
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,SEO Title,,Ringmappe transparent gerillt A4 | Bastelschachtel,SEO title standardized per SOP,info,3c
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,Google Shopping / Condition,,new,Condition set to new,info,4
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,SEO Description,,,SEO desc length 116,warn,4
24,26/09/2025,ringmappe-transparent-gerillt-a4,Ringmappe transparent gerillt A4,Google Shopping / Google Product Category,,,Missing google category,warn,4
25,26/09/2025,ringmappe-transparent-gerillt-a4,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
25,26/09/2025,ringmappe-transparent-gerillt-a4,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
25,26/09/2025,ringmappe-transparent-gerillt-a4,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
25,26/09/2025,ringmappe-transparent-gerillt-a4,,SEO Description,,Für kreative Projekte und saubere Ergebnisse. Jetzt bei Bastelschachtel entdecken. Robust und vielseitig einsetzbar.,SEO description standardized per SOP,info,3c
25,26/09/2025,ringmappe-transparent-gerillt-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category),warn,4
25,26/09/2025,ringmappe-transparent-gerillt-a4,,Google Shopping / Condition,,new,Condition set to new,info,4
25,26/09/2025,ringmappe-transparent-gerillt-a4,,SEO Description,,,SEO desc length 116,warn,4
25,26/09/2025,ringmappe-transparent-gerillt-a4,,Google Shopping / Google Product Category,,,Missing google category,warn,4
26,26/09/2025,ringmappe-transparent-gerillt-a4,,Vendor,,Bastelschachtel,"Defaulted to Bastelschachtel, unknown vendor",info,2
26,26/09/2025,ringmappe-transparent-gerillt-a4,,Body (HTML),(modified),(see Output),Body normalized + closing line enforced,info,3b
26,26/09/2025,ringmappe-transparent-gerillt-a4,,SEO Title,, | Bastelschachtel,SEO title standardized per SOP,info,3c
